"","task","User","day"
"1","added_kyselyä_teamsiin","Moti09",2018-10-02
"2","added_tilaston_muokkaus","Moti09",2018-10-02
"3","added_valmistelen_kokousta","Moti03",2018-10-03
"4","added_kokousajan_etsiminen","Moti03",2018-10-03
"5","added_sähköpostin_läpikäyminen","Moti03",2018-10-03
"6","added_etsin_materiaalia googlella","Moti03",2018-10-03
"7","added_projektin_suunnittelu","Moti07",2018-10-03
"8","added_projektin_suunnittelu","Moti07",2018-10-03
"9","added_projektin_valmistelu","Moti07",2018-10-03
"10","added_projektinhallinta","Moti01",2018-10-04
"11","added_kurssi_","Moti01",2018-10-04
"12","added_valmistelevat_tehtävät","Moti01",2018-10-04
"13","added_hr-tunnuslukujen_raportointi","Moti02",2018-10-04
"14","added_lomakkeisto_- muutokset lomakkeisiin","Moti02",2018-10-04
"15","added_fasilitoin","Moti03",2018-10-04
"16","added_fasilitointi","Moti03",2018-10-04
"17","added_fasilitointi","Moti03",2018-10-04
"18","added_dokumentoin","Moti03",2018-10-04
"19","added_tilastojen_kokoaminen","Moti09",2018-10-04
"20","added_kokousvalmistelut","Moti01",2018-10-05
"21","added_kirjoittaminen_- muistio","Moti02",2018-10-05
"22","added_rekrytointi_- esimiehen ohjeistus","Moti02",2018-10-05
"23","added_päätösvalmistelun_tuki  - ahjo","Moti02",2018-10-05
"24","added_esimiesten_neuvonta palkkamenoihin liittyen","Moti06",2018-10-05
"25","added_esimiesneuvonta,_vuosilomat ym.","Moti06",2018-10-05
"26","added_työtilan_muokkaus","Moti07",2018-10-05
"27","added_tilastojen_tulkinta","Moti09",2018-10-05
"28","added_kirjoittaminen_- sisäinen viestintä","Moti02",2018-10-08
"29","added_sähköpostin_perkaaminen","Moti03",2018-10-08
"30","added_raporttien_laadinta, tva-työhön liittyen","Moti06",2018-10-08
"31","added_rekrytointi-ilmoituksen_teko","Moti06",2018-10-08
"32","added_postitus","Moti09",2018-10-08
"33","added_päätösvalmistelun_tuki","Moti02",2018-10-09
"34","added_raportointi,_tva-työhön liittyen","Moti06",2018-10-09
"35","added_vastaajalistan_virhelistan korjaukset","Moti09",2018-10-09
"36","added_toimistotyöt","Moti30",2018-10-09
"37","added_raportointi,_poissaolot","Moti02",2018-10-10
"38","added_raportointi,_poissaolot","Moti02",2018-10-10
"39","added_selvitystyötä","Moti06",2018-10-10
"40","added_työsopimusten_valmistelu","Moti06",2018-10-10
"41","added_webinaari","Moti09",2018-10-10
"42","added_sähköpostia_","Moti29",2018-10-10
"43","added_excel","Moti29",2018-10-10
"44","added_ahjo","Moti29",2018-10-10
"45","added_koulutus_vetäminen","Moti30",2018-10-10
"46","added_koulutuksen_fasilitointi","Moti30",2018-10-10
"47","added_koulutuksen_fasilitointi","Moti30",2018-10-10
"48","added_dokumentoin_","Moti03",2018-10-11
"49","added_kokous_palveluntarjoajan kanssa","Moti06",2018-10-11
"50","added_työyhteisön_kehittäminen","Moti07",2018-10-11
"51","added_koulutukseen_osallistuminen","Moti09",2018-10-11
"52","added_seminaari","Moti09",2018-10-11
"53","added_seminaariin_osallistuminen","Moti28",2018-10-11
"54","added_semiraariin_osallistuminen","Moti28",2018-10-11
"55","added_työkaverin_auttaminen","Moti28",2018-10-11
"56","added_työhaastattelu","Moti29",2018-10-11
"57","added_esityksen_laadinta","Moti29",2018-10-11
"58","added_valmistelu","Moti03",2018-10-12
"59","added_valmistelu","Moti03",2018-10-12
"60","added_valmistelua","Moti03",2018-10-12
"61","added_valmistelu","Moti03",2018-10-12
"62","added_tva","Moti29",2018-10-12
"63","added_rekrytointi","Moti29",2018-10-12
"64","added_valmistelu","Moti03",2018-10-15
"65","added_työergonomia","Moti07",2018-10-15
"66","added_sisällöntuotanto_some","Moti27",2018-10-15
"67","added_powerpoint-esitys","Moti29",2018-10-15
"68","added_tva-tehtävien_vaativuuden arviointi","Moti29",2018-10-15
"69","added_valmennus","Moti03",2018-10-16
"70","added_esimiestuki,_palvelussuhdeasiat","Moti06",2018-10-16
"71","added_raportointi,_palkat","Moti06",2018-10-16
"72","added_intran_sivustot","Moti07",2018-10-16
"73","added_palkintojen_hankinta","Moti09",2018-10-16
"74","added_muuttujien_nimien kommentointi","Moti09",2018-10-16
"75","added_työpaikkaluokitus","Moti09",2018-10-16
"76","added_taiton_suunnittelu","Moti09",2018-10-16
"77","added_neuvottelu","Moti25",2018-10-16
"78","added_hj:n_palkkapäätös","Moti25",2018-10-16
"79","added_esityksen_pitäminen","Moti26",2018-10-16
"80","added_läksiäiset","Moti01",2018-10-17
"81","added_valmistelu","Moti03",2018-10-17
"82","added_questback_laskut","Moti07",2018-10-17
"83","added_kokous_","Moti07",2018-10-17
"84","added_läksiäiset","Moti07",2018-10-17
"85","added_vastausprosentit","Moti09",2018-10-17
"86","added_vastausprosentit","Moti09",2018-10-17
"87","added_suunnitelman_kirjoittaminen","Moti09",2018-10-17
"88","added_kurssin_käsittely","Moti24",2018-10-17
"89","added_kurssin_käsittely","Moti24",2018-10-17
"90","added_kokous","Moti24",2018-10-17
"91","added_kokous_","Moti24",2018-10-17
"92","added_valmistelu","Moti25",2018-10-17
"93","added_neuvottelu","Moti25",2018-10-17
"94","added_säh","Moti26",2018-10-17
"95","added_työnantajakuvan_vuosisuunnitelma","Moti27",2018-10-17
"96","added_loma","Moti30",2018-10-17
"97","added_loma","Moti30",2018-10-17
"98","added_loma","Moti30",2018-10-17
"99","added_valmistelu","Moti03",2018-10-18
"100","added_henkilöstöraportointi","Moti06",2018-10-18
